Location,Row  ,Distanceft,Distancem,Rep,Type,Injury,Height
W,9,22.5,6.858,1,Covered,0,63
W,9,22.5,6.858,2,Covered,0,58
W,9,22.5,6.858,3,Covered,0,63
W,10,25,7.62,1,Covered,0,63
W,10,25,7.62,2,Covered,0,63
W,10,25,7.62,3,Covered,0,62
W,11,27.5,8.382,1,Covered,0,68
W,11,27.5,8.382,2,Covered,0,74
W,11,27.5,8.382,3,Covered,0,69
W,12,30,9.144,1,Covered,1,59
W,12,30,9.144,2,Covered,1,66
W,12,30,9.144,3,Covered,2,73
W,13,32.5,9.906,1,Covered,0,46
W,13,32.5,9.906,2,Covered,0,66
W,13,32.5,9.906,3,Covered,0,72
W,14,35,10.668,1,Covered,0,62
W,14,35,10.668,2,Covered,1,58
W,14,35,10.668,3,Covered,1,57
W,15,37.5,11.43,1,Covered,1,63
W,15,37.5,11.43,2,Covered,0,61
W,15,37.5,11.43,3,Covered,0,48
W,16,40,12.192,1,Covered,0,63
W,16,40,12.192,2,Covered,1,62
W,16,40,12.192,3,Covered,0,65
W,17,42.5,12.954,1,Covered,0,50
W,17,42.5,12.954,2,Covered,1,56
W,17,42.5,12.954,3,Covered,0,64
W,18,45,13.716,1,Covered,2,62
W,18,45,13.716,2,Covered,0,58
W,18,45,13.716,3,Covered,1,55
W,19,47.5,14.478,1,Covered,0,49
W,19,47.5,14.478,2,Covered,0,53
W,19,47.5,14.478,3,Covered,1,52
W,20,50,15.24,1,Covered,1,66
W,20,50,15.24,2,Covered,1,64
W,20,50,15.24,3,Covered,0,56
W,21,52.5,16.002,1,Covered,0,51
W,21,52.5,16.002,2,Covered,1,55
W,21,52.5,16.002,3,Covered,1,57
W,1,2.5,0.762,1,Non-covered,55,68
W,1,2.5,0.762,2,Non-covered,35,54
W,1,2.5,0.762,3,Non-covered,40,55
W,2,5,1.524,1,Non-covered,30,57
W,2,5,1.524,2,Non-covered,40,67
W,2,5,1.524,3,Non-covered,35,68
W,3,7.5,2.286,1,Non-covered,30,65
W,3,7.5,2.286,2,Non-covered,25,63
W,3,7.5,2.286,3,Non-covered,20,63
W,4,10,3.048,1,Non-covered,20,66
W,4,10,3.048,2,Non-covered,20,53
W,4,10,3.048,3,Non-covered,17,62
W,5,12.5,3.81,1,Non-covered,15,59
W,5,12.5,3.81,2,Non-covered,13,66
W,5,12.5,3.81,3,Non-covered,17,65
W,6,15,4.572,1,Non-covered,15,64
W,6,15,4.572,2,Non-covered,3,56
W,6,15,4.572,3,Non-covered,12,62
W,7,17.5,5.334,1,Non-covered,13,63
W,7,17.5,5.334,2,Non-covered,12,61
W,7,17.5,5.334,3,Non-covered,10,57
W,8,20,6.096,1,Non-covered,15,65
W,8,20,6.096,2,Non-covered,10,60
W,8,20,6.096,3,Non-covered,12,63
W,9,22.5,6.858,1,Non-covered,10,67
W,9,22.5,6.858,2,Non-covered,10,62
W,9,22.5,6.858,3,Non-covered,12,65
W,10,25,7.62,1,Non-covered,10,62
W,10,25,7.62,2,Non-covered,8,64
W,10,25,7.62,3,Non-covered,14,68
W,11,27.5,8.382,1,Non-covered,4,67
W,11,27.5,8.382,2,Non-covered,7,66
W,11,27.5,8.382,3,Non-covered,10,64
W,12,30,9.144,1,Non-covered,3,61
W,12,30,9.144,2,Non-covered,2,62
W,12,30,9.144,3,Non-covered,13,63
W,13,32.5,9.906,1,Non-covered,9,65
W,13,32.5,9.906,2,Non-covered,1,65
W,13,32.5,9.906,3,Non-covered,2,71
W,14,35,10.668,1,Non-covered,2,70
W,14,35,10.668,2,Non-covered,10,62
W,14,35,10.668,3,Non-covered,8,65
W,15,37.5,11.43,1,Non-covered,3,63
W,15,37.5,11.43,2,Non-covered,0,71
W,15,37.5,11.43,3,Non-covered,2,70
W,16,40,12.192,1,Non-covered,1,65
W,16,40,12.192,2,Non-covered,2,68
W,16,40,12.192,3,Non-covered,7,63
W,17,42.5,12.954,1,Non-covered,1,71
W,17,42.5,12.954,2,Non-covered,1,65
W,17,42.5,12.954,3,Non-covered,1,67
W,18,45,13.716,1,Non-covered,1,66
W,18,45,13.716,2,Non-covered,2,69
W,18,45,13.716,3,Non-covered,3,64
W,19,47.5,14.478,1,Non-covered,1,70
W,19,47.5,14.478,2,Non-covered,2,66
W,19,47.5,14.478,3,Non-covered,1,65
W,20,50,15.24,1,Non-covered,1,67
W,20,50,15.24,2,Non-covered,3,70
W,20,50,15.24,3,Non-covered,2,63
W,21,52.5,16.002,1,Non-covered,1,66
W,21,52.5,16.002,2,Non-covered,2,67
W,21,52.5,16.002,3,Non-covered,1,65
W,25,62.5,19.05,1,Non-covered,1,67
W,25,62.5,19.05,2,Non-covered,1,63
W,25,62.5,19.05,3,Non-covered,2,64
